Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat,,nfactor ,min_bound,avg_bound,max_bound
42,763,488,49.79664999,32.21100917,6.12542595,12.17646134,37.02162516,14.64167759,61.53913512,7.788990826,494.6363346,76,9.3,14.3,49.5,290.8775001,12,1.064649373,1,0.6,9.82,18,0.320902228,4,37994.84394,30031.09794,68025.94188,4142.4,,5.429095675,732.48,7477.92,11353.44
43,760,473,50.53041218,32.50394737,6.137894737,12.19644737,37.12697368,14.61394737,61.69906362,7.952631579,300.1467786,76,9.3,14.3,49.5,387.7077053,12,1.030380086,1,0.6,9.82,21,0.019751072,4,38403.11326,29183.65709,67586.77035,3633.7,,4.781184211,547.2,5597.76,8481.6
44,766,470,49.44950821,31.74543081,6.142558747,12.2137859,37.26827676,15.16318538,62.47926479,8.143603133,334.2391334,76,9.4,14.3,49.5,386.7077053,12,1.030380086,1,0.6,9.82,21,0.347839199,4,37878.32329,29365.25445,67243.57774,3914.3,,5.110052219,735.36,7528.32,11520.64
45,735,504,47.80687831,31.96190476,6.107482993,12.20419048,37.71632653,14.75659864,63.08787477,8.326530612,392.1124466,76,9.4,14.3,49.5,293.0740832,12,1.030380086,1,0.6,9.82,21,0.359846883,4,35138.05556,31796.28888,66934.34444,4041.3,,5.498367347,705.6,7182.4,11054.4
46,730,465,51.80707871,32.25342466,6.195068493,12.18739726,37.89931507,15.13246575,62.37912709,8.465753425,485.4811711,76,9.4,14.3,49.5,308.2022364,12,1.030380086,1,0.8,9.76,21.5,0.794617273,5,37819.16746,29006.2941,66825.46155,3498.4,,4.792328767,700.8,5426.88,8234.4
47,763,437,51.46191008,32.24508519,6.273263434,12.20770642,37.76408912,14.78348624,61.44683301,8.639580603,485.4811711,75,9.4,14.3,49.5,300.1467786,12,1.343808025,1,0.8,9.76,21.5,0.258481622,5,39265.43739,26852.26603,66117.70342,3414.8,,4.475491481,732.48,5743.8,8606.64
48,787,414,48.27857943,31.65184244,6.32566709,12.22371029,37.83545108,15.47992376,66.6662705,8.8386277,485.4811711,75,9.4,14.36,49.5,367.094666,13,0.436963132,1,0.8,9.76,21.5,0.812863946,5,37995.24201,27599.83599,65595.078,3935,,5,1007.36,7965.28,11836.48
49,776,414,48.86038355,31.17654639,6.243814433,12.22811856,37.9632732,15.45128866,66.15338113,9.023195876,406.7785828,75,9.4,14.36,50,485.4811711,13,0.436963132,1,0.8,9.82,21.5,1,5,37915.65764,27387.49979,65303.15742,4123.5,,5.31378866,993.28,7752.32,11671.04
50,755,414,48.60385069,30.56291391,6.27589404,12.23684768,38.08543046,15.3418543,67.3676324,9.264900662,298.1343527,75,9.4,14.36,50,484.4811711,13,0.436963132,1,0.8,9.82,21.5,0.210377388,5,36695.90727,27890.19981,64586.10708,4236.8,,5.611655629,966.4,7581.28,11355.2
51,762,399,48.62534249,32.04724409,6.251574803,12.29687664,38.58070866,15.29068241,66.66573423,9.372703412,369.6045934,75,9.5,14.36,50,483.4811711,13,0.436963132,1,0.8,9.76,21.5,0.949271041,5,37052.51098,26599.62796,63652.13894,3651.4,,4.791863517,731.52,5716.44,8686.8
52,778,388,48.55550433,31.39460154,6.247043702,12.26434447,38.70694087,15.69871465,65.19506922,9.580976864,494.930142,75,9.5,14.36,50,298.7222625,13,0.293308437,1,0.8,9.76,21.5,0.384824559,5,37776.18237,25295.68686,63071.86922,3965.3,,5.096786632,995.84,7776.32,11825.6
53,750,407,47.9250795,30.47733333,6.2404,12.25981333,38.75733333,15.16173333,65.82681807,9.809333333,494.930142,75,9.5,14.36,50,345.7748702,14,0.293308437,1,0.8,9.76,21.5,0.157027652,6,35943.80962,26791.51495,62735.32458,4361.4,,5.8152,960,7488.48,11400
