Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxL,maxFE,maxGen,minAE,minET,minH,minV,minL,minFE,minGen,totalAE,totalFE,totalE,totalCombat
49,358,94,7.834749688502834,8.28491620111732,2.7736033519553076,11.497653631284914,9.77458100558659,12.128638905461559,10.17877094972067,61.26690311729908,37.0,4.249999999999999,16.39999999999999,18.999999999999996,50.90883084386587,16,0.27123918802953995,1.0,0.7499999999999998,9.6,12.200000000000003,0.07901888870401308,5,2804.8403884840145,1140.0920571133865,3944.932445597401,406.2
50,365,74,7.638509438870027,8.104109589041096,2.762876712328767,11.444821917808223,9.421232876712324,12.328177665896632,10.32876712328767,59.006408140063286,37.0,4.299999999999999,16.39999999999999,18.999999999999996,49.90883084386587,16,0.27123918802953995,1.0,0.7499999999999998,9.6,12.200000000000003,0.05939561991908704,5,2788.05594518756,912.2851472763508,3700.341092463911,548.4
51,357,74,7.334950915189229,7.910364145658264,2.6812324929971996,11.427787114845945,9.366386554621846,11.76014507084909,10.319327731092438,69.42330310307443,35.0,4.299999999999999,16.39999999999999,19.199999999999996,48.90883084386587,16,0.26317741707180176,1.0,0.7499999999999998,9.6,12.200000000000003,0.08995821672942839,5,2618.577476722555,870.2507352428327,3488.8282119653877,581.9
52,348,82,7.0725860097499735,7.761494252873563,2.626149425287357,11.50275862068965,9.407327586206895,9.650807234597789,10.408045977011493,59.006408140063286,35.0,4.299999999999999,16.39999999999999,18.999999999999996,47.90883084386587,17,0.26317741707180176,1.0,0.7499999999999998,9.6,12.200000000000003,0.024910989217460155,6,2461.259931392991,791.3661932370187,3252.6261246300096,501.45
53,343,83,6.276853082425164,7.279883381924198,2.515160349854227,11.503790087463555,9.366909620991256,10.503691889988193,10.565597667638484,51.20596183091402,35.0,4.249999999999999,16.39999999999999,18.999999999999996,46.90883084386587,17,0.26317741707180176,1.0,0.6999999999999997,9.52,12.200000000000003,0.22519413894042373,6,2152.960607271831,871.80642686902,3024.767034140851,517.05
54,334,77,5.832141759211251,7.038922155688622,2.4558383233532957,11.51209580838323,9.011077844311387,11.315839543325678,10.72754491017964,51.20596183091402,35.0,4.199999999999999,16.39999999999999,10.0,45.90883084386587,17,0.26317741707180176,1.0,0.6999999999999997,9.52,12.200000000000003,0.010105390276294202,6,1947.935347576558,871.3196448360773,2819.254992412635,484.05
55,322,72,5.650322570443689,6.74223602484472,2.3875776397515542,11.451552795031056,9.069565217391311,11.53804267403636,10.835403726708075,51.067477327305824,35.0,4.199999999999999,16.319999999999993,9.0,51.20596183091402,17,0.26317741707180176,1.0,0.6499999999999997,9.52,12.200000000000003,0.2474308103628573,6,1819.4038676828677,830.7390725306179,2650.1429402134854,377.9
56,310,72,5.409547138324897,6.593548387096774,2.3303225806451606,11.400387096774184,8.935322580645165,10.816695649615443,11.03225806451613,55.77491213101894,35.0,4.199999999999999,16.319999999999993,8.0,43.90883084386587,17,0.2732240756367901,1.0,0.6499999999999997,9.52,12.200000000000003,0.26317741707180176,6,1676.9596128807182,778.8020867723119,2455.76169965303,457.4
57,303,64,6.077309621722416,6.627062706270627,2.3900990099009896,11.498085808580857,8.849174917491755,7.08315143661947,11.221122112211221,63.49937844485976,35.0,4.199999999999999,16.319999999999993,7.0,42.19417469203472,18,0.2732240756367901,1.0,0.6499999999999997,9.52,12.200000000000003,0.12661718607159855,6,1841.4248153818921,453.3216919436461,2294.746507325538,277.2
58,289,67,5.372067009179057,6.491349480968858,2.3920415224913487,11.578408304498268,8.977854671280282,8.651035284497718,11.439446366782008,63.49937844485976,35.0,4.249999999999999,16.319999999999993,7.9,35.32813985273242,18,0.2732240756367901,1.0,0.6499999999999997,9.52,12.200000000000003,0.16900751017965376,6,1552.5273656527474,579.6193640613471,2132.1467297140944,384.1
